"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.765607542E0,2.526600010E0,6.966426523E0,-7.445680690E-1,7.447763941E0
1.775625542E0,2.524922151E0,6.424720584E0,-1.386161993E0,7.040860141E0
1.785644542E0,1.631236781E0,6.065544838E0,-1.973521821E0,6.583810143E0
1.795663542E0,6.020136823E-1,6.240733266E0,-3.110358831E0,6.998821631E0
1.805681542E0,-5.996474603E-1,6.958406482E0,-4.377981098E0,8.242919163E0
1.815700542E0,-1.060704800E0,8.244270599E0,-4.679270579E0,9.538797908E0
1.825719542E0,-1.326042091E0,9.566431308E0,-3.846782021E0,1.039580336E1
1.835737542E0,-1.683019284E0,1.133436093E1,-3.245068739E0,1.190927214E1
1.845756542E0,-1.748123645E0,1.131395298E1,-3.312697636E0,1.191786197E1
1.855775542E0,-1.825122119E0,1.129295797E1,-3.383333462E0,1.192933006E1
1.865793542E0,-1.907812420E0,1.127270205E1,-3.454204932E0,1.194341205E1
1.875812542E0,-1.990990378E0,1.125388454E1,-3.524048461E0,1.195963534E1
1.885830542E0,-2.069030388E0,1.123666449E1,-3.593518646E0,1.197734911E1
1.895849542E0,-2.136555642E0,1.122101500E1,-3.663332062E0,1.199566794E1
1.905868542E0,-2.188394425E0,1.120644140E1,-3.736409394E0,1.201391502E1
1.915886542E0,-2.219961642E0,1.119230985E1,-3.816695173E0,1.203175762E1
1.925905542E0,-2.230128927E0,1.117747195E1,-3.912104191E0,1.205047358E1
1.935925417E0,-2.224307439E0,1.116246098E1,-4.020075366E0,1.207100181E1
1.945943417E0,-2.305224206E-1,7.513382092E0,-6.464106259E0,9.914066813E0
1.955962417E0,-1.175724283E0,2.848236632E0,-8.489801617E0,9.031694802E0
1.965981417E0,-2.594182713E0,-1.625287385E0,-8.947079608E0,9.456298248E0
1.975999417E0,-3.207329640E0,-5.640787890E0,-4.689775686E0,8.006213052E0
1.986018417E0,-1.803536538E0,-8.200458582E0,3.331151741E0,9.033096751E0
1.996036417E0,1.401315052E0,-1.016596446E1,6.844176446E0,1.233504229E1
2.006055417E0,4.341651470E0,-1.259625790E1,3.097849005E0,1.367890051E1
2.016074417E0,6.222624439E0,-1.518105817E1,-2.697180613E-1,1.640909290E1
2.026092417E0,6.520528382E0,-1.721017064E1,-8.900432861E-1,1.842551060E1
2.036111417E0,4.773046177E0,-1.829370414E1,-6.864163399E-1,1.891858209E1
2.046130417E0,1.224222039E0,-1.868578802E1,7.907542387E-2,1.872601523E1
2.056148417E0,-2.557646386E0,-1.791573427E1,9.200032496E-1,1.812074765E1
2.066167417E0,-5.122314693E0,-1.648321205E1,1.769616548E0,1.735125154E1
2.076185417E0,-5.187016473E0,-1.464341605E1,2.053307079E0,1.567006201E1
2.086204417E0,-3.379904655E0,-1.245039092E1,1.444028378E0,1.298157184E1
2.096223417E0,-9.235381839E-1,-1.038492163E1,7.156734681E-1,1.045044059E1
2.106241417E0,1.631757329E0,-8.491029532E0,5.346928612E-1,8.662915846E0
2.116260417E0,3.581986767E0,-7.155089859E0,8.510551485E-1,8.046753069E0
2.126279417E0,4.332193014E0,-6.635223271E0,1.350478774E0,8.038524559E0
2.136297417E0,3.515141105E0,-6.220058096E0,1.252624451E0,7.253578960E0
2.146316417E0,2.234844999E0,-6.103766917E0,1.154019272E0,6.601686393E0
2.156335417E0,1.040160900E0,-6.065666460E0,1.441981852E0,6.320882530E0
2.166353417E0,5.914499563E-1,-6.154622490E0,1.806544054E0,6.441489926E0
2.176372417E0,6.838457577E-1,-6.556969984E0,1.900133418E0,6.860904270E0
2.186390417E0,8.561622528E-1,-7.172597592E0,1.895859103E0,7.468162543E0
2.196409417E0,1.224749312E0,-7.642930078E0,1.770595372E0,7.940365169E0
2.206428417E0,1.491736102E0,-8.192391763E0,1.365500271E0,8.438314428E0
2.216446417E0,1.460036446E0,-8.884159475E0,7.621436298E-1,9.035533128E0
2.226465417E0,1.211586426E0,-9.683862695E0,6.363882937E-2,9.759569061E0
2.236484417E0,7.098877213E-1,-1.050775292E1,-5.058742011E-1,1.054384753E1
2.246502417E0,1.320042555E-1,-1.099515343E1,-7.873580662E-1,1.102409891E1
2.256521417E0,-3.471052661E-1,-1.114032810E1,-7.654485492E-1,1.117198746E1
2.266540417E0,-4.742283390E-1,-1.112103229E1,-6.249843228E-1,1.114867064E1
2.276558417E0,-2.803381032E-1,-1.088902413E1,-6.488900062E-1,1.091194273E1
2.286577417E0,1.979875260E-1,-1.027536118E1,-8.314178594E-1,1.031084391E1
2.296595417E0,8.272207280E-1,-9.414707757E0,-8.319746605E-1,9.487528557E0
2.306614417E0,1.559298340E0,-8.756337002E0,-6.967776060E-1,8.921342278E0
2.316633417E0,2.288444817E0,-8.035911502E0,-3.802141014E-1,8.364055004E0
2.326651417E0,2.862364967E0,-6.898584788E0,-4.887255601E-1,7.484815158E0
2.336670417E0,3.072712410E0,-4.594185989E0,-2.777667171E0,6.185753097E0
2.346689417E0,2.001785508E0,-1.362445686E0,-4.560549881E0,5.163527737E0
2.356707417E0,-7.758734769E-1,3.224290366E0,-2.563904661E0,4.191853424E0
2.366726417E0,-5.551466408E0,8.805843623E0,1.710476639E0,1.054928393E1
2.376745417E0,-8.276513901E0,1.356444221E1,4.245470327E0,1.644745552E1
2.386763417E0,-8.359685866E0,1.355947441E1,4.303475876E0,1.650041208E1
2.396782417E0,-8.435951684E0,1.355737175E1,4.376873635E0,1.655670959E1
2.406801417E0,-8.477199697E0,1.356065672E1,4.464144498E0,1.660370174E1
2.416819417E0,-8.484708107E0,1.356729682E1,4.545741223E0,1.663507072E1
2.426838417E0,-8.473927011E0,1.357392288E1,4.604235599E0,1.665106023E1
