"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.945528292E0,2.469621963E-1,3.280265469E0,-6.427710266E0,7.220567231E0
1.955546292E0,5.379462520E-1,3.146024800E0,-6.289068689E0,7.052605419E0
1.965565292E0,9.657494529E-1,3.216573796E0,-5.843990328E0,6.740270169E0
1.975584292E0,1.486166337E0,3.292690510E0,-5.731229698E0,6.774769002E0
1.985603292E0,1.976089626E0,3.432045154E0,-5.561604896E0,6.827540785E0
1.995621292E0,2.092093707E0,3.636160928E0,-5.307213593E0,6.764986215E0
2.005640292E0,1.951246853E0,3.739224243E0,-5.024238760E0,6.559888516E0
2.015659292E0,1.631089285E0,3.736192462E0,-4.607563834E0,6.152172856E0
2.025678292E0,1.422382570E0,3.595550553E0,-4.168537341E0,5.685759362E0
2.035697292E0,1.271399568E0,3.160810654E0,-4.057747223E0,5.298348174E0
2.045715292E0,1.001774441E0,2.708894559E0,-3.938255278E0,4.883801429E0
2.055734292E0,6.607124184E-1,2.403139560E0,-3.463004115E0,4.266616709E0
2.065753292E0,2.941864295E-1,2.155628091E0,-3.189561414E0,3.860904056E0
2.075772292E0,-6.509639405E-2,1.854205878E0,-2.859345172E0,3.408543940E0
2.085790292E0,-2.735445523E-1,1.602807180E0,-2.354250405E0,2.861173264E0
2.095809292E0,-2.785435197E-1,1.312166648E0,-2.067943829E0,2.464905573E0
2.105828292E0,-1.587743802E-1,9.293155253E-1,-1.854160269E0,2.080083401E0
2.115847292E0,2.095788270E-2,6.603079373E-1,-1.607023607E0,1.737518540E0
2.125866292E0,2.079690703E-1,4.030093986E-1,-1.518252933E0,1.584537686E0
2.135884292E0,3.633883730E-1,1.598932815E-1,-1.392669944E0,1.448152804E0
2.145903292E0,4.686119422E-1,-7.638861001E-2,-1.208598425E0,1.298515509E0
2.155922292E0,5.318891213E-1,-4.233161938E-1,-9.158517265E-1,1.140564344E0
2.165941292E0,4.379189206E-1,-5.362931710E-1,-3.846976733E-1,7.920704805E-1
2.175959292E0,2.888189779E-1,-6.351000059E-1,-7.102145076E-2,7.012934236E-1
2.185978292E0,3.324741438E-1,-9.190250105E-1,1.566708809E-1,9.897938124E-1
2.195997292E0,4.765037830E-1,-1.320098981E0,4.307673007E-1,1.468086388E0
2.206016292E0,5.892055026E-1,-1.746751596E0,6.664720720E-1,1.960226845E0
2.216035292E0,7.043827140E-1,-2.182484352E0,8.790475971E-1,2.456036977E0
2.226053292E0,7.528607364E-1,-2.710600192E0,1.064421875E0,3.007847506E0
2.236072292E0,7.203643238E-1,-3.257653994E0,1.281544780E0,3.574016134E0
2.246091292E0,6.817504080E-1,-3.854126124E0,1.204889536E0,4.095220457E0
2.256110292E0,5.941318914E-1,-4.464222851E0,1.188136094E0,4.657676003E0
2.266128292E0,4.211025111E-1,-4.907564589E0,1.345805095E0,5.106144227E0
2.276147292E0,3.848363985E-1,-5.220961899E0,1.376359136E0,5.413031191E0
2.286166292E0,4.089509006E-1,-5.472791537E0,1.192620909E0,5.616140372E0
2.296185292E0,5.872552369E-1,-5.537547696E0,1.164599297E0,5.689076790E0
2.306204292E0,8.156606365E-1,-5.554183025E0,1.283377882E0,5.758585775E0
2.316222292E0,9.688084238E-1,-5.455971437E0,1.236515372E0,5.677603750E0
2.326241292E0,1.099136794E0,-5.251634054E0,1.201235611E0,5.498247804E0
2.336260292E0,1.193009237E0,-5.136081963E0,1.365935304E0,5.446869580E0
2.346279292E0,1.198131544E0,-5.072932618E0,1.586425620E0,5.448569610E0
2.356297292E0,1.095165804E0,-4.982184416E0,1.687172561E0,5.372904331E0
2.366316292E0,9.640521524E-1,-4.897455922E0,1.698736015E0,5.272587137E0
2.376335292E0,7.945282144E-1,-4.772437774E0,1.549748960E0,5.080271570E0
2.386354292E0,7.647230559E-1,-4.655133272E0,1.560038890E0,4.968781387E0
2.396373292E0,8.081050837E-1,-4.597589069E0,1.628393426E0,4.943938129E0
2.406391292E0,9.419175906E-1,-4.537443439E0,1.685616910E0,4.931217505E0
2.416410292E0,1.064395416E0,-4.506112888E0,1.700177061E0,4.932402356E0
2.426429292E0,1.176403948E0,-4.466564076E0,1.666009441E0,4.910163781E0
2.436448292E0,1.304952499E0,-4.418401145E0,1.617717287E0,4.882845372E0
2.446466292E0,1.457473027E0,-4.435945131E0,1.147642372E0,4.808213789E0
2.456485292E0,1.573551221E0,-4.503549469E0,7.517905498E-1,4.829410968E0
2.466504292E0,1.524166515E0,-4.452210331E0,6.537991092E-1,4.751075002E0
2.476523292E0,1.341084053E0,-4.270223930E0,6.402736223E-1,4.521423356E0
2.486542292E0,1.274054204E0,-4.026828316E0,9.822889602E-1,4.336294732E0
2.496560292E0,1.039745748E0,-3.814269163E0,1.030930924E0,4.085650381E0
2.506579292E0,7.615556923E-1,-3.687817862E0,7.630955565E-1,3.842171584E0
2.516598292E0,5.696280013E-1,-3.403737321E0,6.086730762E-1,3.504338272E0
2.526617292E0,3.517506596E-1,-3.005938962E0,4.802119410E-1,3.064310865E0
2.536635292E0,1.440610680E-1,-2.629143215E0,4.723698016E-1,2.675122589E0
2.546654292E0,1.067781977E-1,-2.160428070E0,4.242869778E-1,2.204284571E0
2.556673292E0,5.179668278E-2,-1.759999048E0,5.076926851E-1,1.832493221E0
2.566692292E0,-3.445179462E-3,-1.460542669E0,7.360907757E-1,1.635550790E0
2.576711292E0,1.252912134E-1,-1.227308931E0,6.293779937E-1,1.384955508E0
2.586729292E0,2.045740490E-1,-1.003020263E0,3.802526200E-1,1.092012933E0
2.596748292E0,2.714847609E-1,-7.180427599E-1,5.073921382E-1,9.201826788E-1
2.606767292E0,2.156891674E-1,-4.667276770E-1,8.103200821E-1,9.596745161E-1
2.616786292E0,6.722178385E-2,-2.460783166E-1,8.801242156E-1,9.163470636E-1
2.626804292E0,6.758124143E-2,-2.609086096E-2,8.412880325E-1,8.444012736E-1
2.636823292E0,2.548992799E-1,1.392362380E-1,7.437226347E-1,7.984257825E-1
2.646842292E0,4.772197746E-1,1.177962524E-1,5.220487325E-1,7.170422229E-1
2.656861292E0,5.696464200E-1,-2.275268555E-2,3.236211669E-1,6.555496840E-1
2.666880292E0,5.128101683E-1,-1.421405500E-1,3.208904807E-1,6.214088069E-1
2.676898292E0,4.072939458E-1,-3.305699980E-1,4.438714957E-1,6.871584873E-1
2.686917292E0,3.337476674E-1,-5.581488937E-1,4.777701437E-1,8.069584892E-1
2.696936292E0,3.499580495E-1,-7.156787306E-1,6.105054474E-1,1.003685002E0
2.706955292E0,4.515773951E-1,-8.579724777E-1,7.123347080E-1,1.203104174E0
2.716973292E0,4.985752679E-1,-1.130664396E0,6.617410898E-1,1.401741968E0
2.726992292E0,3.968664600E-1,-1.343904750E0,5.061887813E-1,1.489902697E0
2.737011292E0,2.314551611E-1,-1.375464512E0,4.215444875E-1,1.457111481E0
2.747030292E0,-1.314000919E-2,-1.327097513E0,6.334382272E-1,1.470579633E0
2.757049292E0,-1.647410618E-1,-1.116345150E0,7.017050546E-1,1.328817555E0
2.767067292E0,-2.005706066E-1,-8.123209262E-1,6.041635573E-1,1.032040435E0
2.777086292E0,-2.439620630E-1,-5.069793248E-1,6.194949567E-1,8.368509577E-1
2.787105292E0,-2.732275236E-1,-1.309752917E-1,6.271606565E-1,6.965186973E-1
2.797124292E0,-2.649475738E-1,2.087724960E-1,5.843374032E-1,6.747098434E-1
2.807142292E0,-1.871515390E-1,4.559518433E-1,5.500481611E-1,7.385599241E-1
2.817161292E0,-1.256717210E-1,5.190017849E-1,5.399546975E-1,7.594124765E-1
2.827180292E0,-8.542825922E-2,4.328284442E-1,4.797663832E-1,6.517777474E-1
2.837199292E0,3.551028684E-2,2.500754732E-1,4.125871378E-1,4.837632366E-1
2.847218292E0,1.160343401E-1,-3.801274896E-3,3.647756249E-1,3.828050082E-1
2.857236292E0,1.508476388E-1,-2.334699655E-1,3.326995540E-1,4.335345755E-1
2.867255292E0,1.962062448E-1,-4.102634543E-1,3.526578552E-1,5.754828888E-1
2.877274292E0,2.245648022E-1,-5.328117388E-1,4.248803240E-1,7.175242081E-1
2.887293292E0,2.014786792E-1,-5.645697212E-1,3.979240751E-1,7.194971840E-1
2.897312292E0,1.684021497E-1,-5.135708910E-1,3.255010468E-1,6.309241441E-1
2.907330625E0,8.581914559E-2,-4.306591272E-1,2.611547774E-1,5.109148925E-1
2.917349625E0,1.433035612E-2,-3.802596366E-1,1.991801387E-1,4.295060861E-1
2.927368625E0,-4.652951092E-2,-2.552239466E-1,2.005144733E-1,3.278876519E-1
2.937387625E0,-2.263360700E-1,-8.309828997E-2,2.210849780E-1,3.271267489E-1
2.947405625E0,-3.163298352E-1,3.063239336E-2,3.530162895E-1,4.749983250E-1
2.957424625E0,-2.906520800E-1,2.912381172E-2,4.838606036E-1,5.651972326E-1
2.967443625E0,-2.005032174E-1,3.351974845E-2,4.342440552E-1,4.794715979E-1
2.977462625E0,-8.259528324E-2,-9.412263036E-3,2.506292045E-1,2.640559972E-1
2.987481625E0,-6.170420498E-3,1.683413386E-2,4.219432676E-1,4.223240263E-1
2.997499625E0,-5.736103937E-2,-5.552808344E-2,1.837505060E-1,2.003444668E-1
3.007518625E0,-6.508784249E-2,-1.908080953E-1,3.342093050E-1,3.903075916E-1
3.017537625E0,1.847968653E-2,-1.839931655E-1,7.449013603E-1,7.675109252E-1
3.027556625E0,-5.056379735E-4,-2.481686962E-1,5.769997323E-1,6.281056029E-1
3.037574625E0,7.253617197E-3,-2.729392558E-1,5.572466683E-1,6.205419419E-1
3.047593625E0,2.678010151E-2,-1.691172642E-1,5.710075057E-1,5.961269952E-1
3.057612625E0,4.214088321E-3,-1.162525874E-1,4.148470867E-1,4.308486137E-1
3.067631625E0,1.702679962E-2,-1.738423991E-1,4.256083024E-1,4.600581688E-1
3.077650625E0,-3.726050466E-2,-2.498328137E-1,5.028815961E-1,5.627563236E-1
3.087668625E0,-1.081696889E-1,-3.288924319E-1,5.424625683E-1,6.435344212E-1
